datetime,bid,ask,currency_pair,volume
2023-11-30 23:59:58,161.464,161.602,EURJPY,65
2023-11-30 23:59:59,99.371,97.977,AUDJPY,8562
2023-12-01 00:00:00,161.464,161.599,EURJPY,8795
2023-12-01 00:00:00,148.04,148.168,USDJPY,8289
2023-12-01 00:00:01,162.994,161.6,EURJPY,6764
2023-12-01 00:00:01,148.036,148.165,USDJPY,3090
2023-12-01 00:00:02,161.46,161.599,EURJPY,896
2023-12-01 00:00:02,148.036,148.164,USDJPY,4312
2023-12-01 00:00:03,161.458,161.596,EURJPY,9747
2023-12-01 00:00:04,97.847,97.979,AUDJPY,4624
2023-12-01 00:00:05,162.998,161.604,EURJPY,457
2023-12-01 00:00:06,97.847,97.977,AUDJPY,9319
2023-12-01 00:00:07,148.033,148.162,USDJPY,2176
